Cha Cha
id =  489 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  115 : gt = 204 , t1 = 211.3126 , t2 = 212.6090 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  116 : gt = 200 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  117 : gt = 204 , t1 = 208.7198 , t2 = 210.0162 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  118 : gt = 204 , t1 = 211.3126 , t2 = 212.6090 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  119 : gt = 204 , t1 = 210.0162 , t2 = 213.9054 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  120 : gt = 204 , t1 = 208.7198 , t2 = 210.0162 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  121 : gt = 200 , t1 = 207.4234 , t2 = 210.0162 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  122 : gt = 208 , t1 =  55.7450 , t2 = 107.6009 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  123 : gt = 200 , t1 = 204.8306 , t2 = 210.0162 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  124 : gt = 200 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  125 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  126 : gt = 208 , t1 = 213.9054 , t2 = 215.2017 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  127 : gt = 200 , t1 = 203.5342 , t2 = 204.8306 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  128 : gt = 200 , t1 = 204.8306 , t2 = 206.1270 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  129 : gt = 200 , t1 = 203.5342 , t2 = 204.8306 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  130 : gt = 204 , t1 =  57.0414 , t2 = 105.0081 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  131 : gt = 200 , t1 = 204.8306 , t2 = 208.7198 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  132 : gt = 204 , t1 = 207.4234 , t2 = 210.0162 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  133 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  134 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  135 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  136 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  137 : gt = 204 , t1 = 208.7198 , t2 = 210.0162 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  138 : gt = 204 , t1 =  55.7450 , t2 =  58.3378 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  139 : gt = 204 , t1 = 105.0081 , t2 = 210.0162 . avg.P-score = 0.9764 , ALOTC-score= 1 *
id =  140 : gt = 204 , t1 = 132.2324 , t2 = 212.6090 . avg.P-score = 0.9637 , ALOTC-score= 1 *
id =  141 : gt = 200 , t1 = 202.2378 , t2 = 203.5342 . avg.P-score = 1.0000 , ALOTC-score= 1 *
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - P-score = 0.7948 alotc = 0.8049
Rumba
id =  600 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  601 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  602 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  603 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  604 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  605 : gt =  88 , t1 = 181.4955 , t2 = 182.7918 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  606 : gt =  92 , t1 =  55.7450 , t2 = 119.2684 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  607 : gt =  96 , t1 =  70.0054 , t2 =  75.1910 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  608 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  609 : gt =  96 , t1 =  55.7450 , t2 =  57.0414 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  610 : gt = 100 , t1 =  57.0414 , t2 =  58.3378 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  611 : gt = 100 , t1 =  57.0414 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  612 : gt = 100 , t1 = 204.8306 , t2 = 207.4234 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  613 : gt =  84 , t1 =  57.0414 , t2 = 173.7171 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  614 : gt = 100 , t1 = 202.2712 , t2 = 203.5762 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  615 : gt = 122 , t1 =  56.2933 , t2 = 248.7376 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  616 : gt = 122 , t1 =  57.6024 , t2 = 248.7376 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  617 : gt =  84 , t1 =  57.4189 , t2 = 173.5618 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  618 : gt =  96 , t1 = 198.3563 , t2 = 199.6613 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  619 : gt =  96 , t1 = 198.3563 , t2 = 200.9663 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  620 : gt =  96 , t1 = 198.3563 , t2 = 199.6613 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  621 : gt = 108 , t1 = 195.9178 , t2 = 197.1983 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  622 : gt = 100 , t1 = 199.7593 , t2 = 202.3204 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  623 : gt =  88 , t1 =  56.3424 , t2 =  88.3551 . avg.P-score = 0.5873 , ALOTC-score= 1 *
id =  624 : gt = 120 , t1 =  55.0619 , t2 = 181.8322 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  625 : gt = 120 , t1 = 174.1492 , t2 = 175.4297 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  626 : gt = 104 , t1 = 208.7961 , t2 = 215.3210 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  627 : gt = 104 , t1 = 214.0160 , t2 = 215.3210 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  628 : gt = 104 , t1 = 214.0160 , t2 = 215.3210 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  629 : gt = 104 , t1 = 108.3130 , t2 = 215.3210 . avg.P-score = 0.0526 , ALOTC-score= 1 *
id =  630 : gt = 104 , t1 = 214.0160 , t2 = 215.3210 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  631 : gt = 104 , t1 =  58.9115 , t2 = 216.0090 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  632 : gt = 104 , t1 = 214.0160 , t2 = 215.3210 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  633 : gt = 104 , t1 = 203.5762 , t2 = 215.3210 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  634 : gt = 104 , t1 = 215.3210 , t2 = 216.6260 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  635 : gt = 104 , t1 = 215.3210 , t2 = 216.6260 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  636 : gt = 104 , t1 = 216.0090 , t2 = 217.3181 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  637 : gt = 104 , t1 = 215.3210 , t2 = 216.6260 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  638 : gt = 104 , t1 = 214.0160 , t2 = 215.3210 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  639 : gt = 104 , t1 = 215.3210 , t2 = 217.9310 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  640 : gt = 104 , t1 = 215.3210 , t2 = 216.6260 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  641 : gt = 104 , t1 = 209.1538 , t2 = 210.4291 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  642 : gt = 104 , t1 = 216.0090 , t2 = 217.3181 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  643 : gt =  96 , t1 = 199.6180 , t2 = 200.9313 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  644 : gt =  96 , t1 = 198.6938 , t2 = 200.0010 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  645 : gt = 100 , t1 = 206.5370 , t2 = 207.8442 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  646 : gt = 100 , t1 = 206.5370 , t2 = 207.8442 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  647 : gt = 100 , t1 = 206.1862 , t2 = 207.4911 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  648 : gt = 100 , t1 = 206.1862 , t2 = 207.4911 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  649 : gt = 100 , t1 = 207.4911 , t2 = 208.7961 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  650 : gt = 100 , t1 = 206.1862 , t2 = 207.4911 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  651 : gt = 115 , t1 = 227.9305 , t2 = 230.4915 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  652 : gt = 135 , t1 =  83.7853 , t2 = 141.3877 . avg.P-score = 0.9622 , ALOTC-score= 1 *
id =  653 : gt = 122 , t1 =  62.7449 , t2 = 240.7356 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  654 : gt = 120 , t1 =  56.3424 , t2 = 270.1873 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  655 : gt = 115 , t1 =  84.5136 , t2 = 227.9305 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  656 : gt = 141 , t1 = 285.5534 , t2 = 286.8339 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  657 : gt = 130 , t1 = 259.1164 , t2 = 264.2222 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  658 : gt = 100 , t1 =  57.0414 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  659 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  660 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  661 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  662 : gt = 100 , t1 = 203.5342 , t2 = 204.8306 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  663 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  664 : gt = 104 , t1 =  57.0414 , t2 = 216.4981 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  665 : gt =  76 , t1 = 154.2711 , t2 = 155.5675 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  666 : gt =  80 , t1 =  57.0414 , t2 =  59.6342 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  667 : gt =  96 , t1 =  72.5982 , t2 =  73.8946 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  668 : gt = 100 , t1 = 197.0522 , t2 = 198.3486 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  669 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  670 : gt = 100 , t1 = 203.5342 , t2 = 204.8306 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  671 : gt =  76 , t1 =  57.0414 , t2 = 155.5675 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  672 : gt = 100 , t1 =  55.7450 , t2 = 202.2378 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  673 : gt = 100 , t1 =  55.7450 , t2 =  57.0414 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  674 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  675 : gt = 100 , t1 = 206.1270 , t2 = 410.9576 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  676 : gt =  76 , t1 =  57.0414 , t2 =  64.8198 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  677 : gt =  92 , t1 = 187.9774 , t2 = 189.2738 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  678 : gt =  88 , t1 =  55.7450 , t2 =  57.0414 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  679 : gt =  92 , t1 =  85.5621 , t2 =  86.8585 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  680 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  681 : gt = 100 , t1 = 203.5342 , t2 = 204.8306 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  682 : gt =  96 , t1 = 197.0522 , t2 = 198.3486 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  683 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  684 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  685 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  686 : gt =  96 , t1 = 198.3486 , t2 = 199.6450 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  687 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  688 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  689 : gt =  96 , t1 = 189.2738 , t2 = 197.0522 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  690 : gt =  92 , t1 = 185.3846 , t2 = 191.8666 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  691 : gt =  92 , t1 = 187.9774 , t2 = 190.5702 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  692 : gt =  92 , t1 =  55.7450 , t2 =  57.0414 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  693 : gt = 100 , t1 =  57.0414 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  694 : gt = 100 , t1 = 203.5342 , t2 = 206.1270 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  695 : gt =  76 , t1 = 154.2711 , t2 = 155.5675 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  696 : gt =  76 , t1 =  55.7450 , t2 = 155.5675 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  697 : gt =  92 , t1 =  57.6229 , t2 =  88.3551 . avg.P-score = 0.5143 , ALOTC-score= 1 *
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - P-score = 0.0318 alotc = 0.0510
Samba
id =  403 : gt = 100 , t1 =  57.0414 , t2 = 412.2540 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  404 : gt = 100 , t1 = 127.0468 , t2 = 128.3432 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  405 : gt = 100 , t1 = 410.9576 , t2 = 412.2540 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  406 : gt = 100 , t1 =  57.0414 , t2 = 207.4234 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  407 : gt = 100 , t1 = 409.6612 , t2 = 410.9576 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  408 : gt =  92 , t1 =  55.7450 , t2 =  57.0414 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  409 : gt = 100 , t1 = 207.4234 , t2 = 410.9576 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  410 : gt = 102 , t1 = 158.1603 , t2 = 211.3126 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  411 : gt = 104 , t1 = 213.9054 , t2 = 427.8107 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  412 : gt =  88 , t1 = 364.2873 , t2 = 365.5837 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  413 : gt = 104 , t1 =  73.8946 , t2 = 106.3045 . avg.P-score = 0.5295 , ALOTC-score= 1 *
id =  414 : gt = 104 , t1 =  57.0414 , t2 = 215.2017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  415 : gt = 102 , t1 = 106.3045 , t2 = 420.0323 . avg.P-score = 0.0249 , ALOTC-score= 1 *
id =  416 : gt = 102 , t1 = 105.0081 , t2 = 422.6251 . avg.P-score = 0.0257 , ALOTC-score= 1 *
id =  417 : gt =  68 , t1 = 127.0468 , t2 = 283.9107 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  418 : gt = 102 , t1 = 418.7359 , t2 = 420.0323 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  419 : gt = 102 , t1 = 210.0162 , t2 = 211.3126 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  420 : gt = 102 , t1 = 418.7359 , t2 = 420.0323 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  421 : gt = 102 , t1 = 418.7359 , t2 = 420.0323 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  422 : gt =  96 , t1 =  99.8225 , t2 = 198.3486 . avg.P-score = 0.0492 , ALOTC-score= 1 *
id =  423 : gt = 102 , t1 = 210.0162 , t2 = 418.7359 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  424 : gt = 100 , t1 = 409.6612 , t2 = 410.9576 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  425 : gt = 102 , t1 =  57.0414 , t2 =  58.3378 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  426 : gt = 100 , t1 = 409.6612 , t2 = 410.9576 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  427 : gt = 102 , t1 =  57.0414 , t2 = 124.4540 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  428 : gt = 102 , t1 = 418.7359 , t2 = 420.0323 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  429 : gt = 102 , t1 = 210.0162 , t2 = 211.3126 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  430 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  431 : gt =  98 , t1 = 401.8828 , t2 = 403.1792 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  432 : gt = 102 , t1 = 413.5503 , t2 = 414.8467 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  433 : gt = 102 , t1 =  57.0414 , t2 = 208.7198 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  434 : gt = 102 , t1 = 418.7359 , t2 = 420.0323 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  435 : gt = 100 , t1 = 203.5342 , t2 = 204.8306 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  436 : gt = 102 , t1 = 417.4395 , t2 = 418.7359 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  437 : gt = 100 , t1 = 408.3648 , t2 = 409.6612 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  438 : gt = 100 , t1 = 103.7117 , t2 = 410.9576 . avg.P-score = 0.0484 , ALOTC-score= 1 *
id =  439 : gt = 102 , t1 = 210.0162 , t2 = 211.3126 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  440 : gt = 102 , t1 = 208.7198 , t2 = 210.0162 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  441 : gt =  88 , t1 =  88.1549 , t2 =  90.7477 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  442 : gt = 100 , t1 = 410.9576 , t2 = 412.2540 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  443 : gt = 100 , t1 = 410.9576 , t2 = 412.2540 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  444 : gt = 100 , t1 = 410.9576 , t2 = 412.2540 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  445 : gt = 100 , t1 = 410.9576 , t2 = 412.2540 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  446 : gt = 100 , t1 = 410.9576 , t2 = 412.2540 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  447 : gt = 102 , t1 = 208.7198 , t2 = 210.0162 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  448 : gt = 102 , t1 = 418.7359 , t2 = 420.0323 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  449 : gt = 102 , t1 = 208.7198 , t2 = 210.0162 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  450 : gt =  96 , t1 =  99.8225 , t2 = 395.4008 . avg.P-score = 0.0359 , ALOTC-score= 1 *
id =  451 : gt = 100 , t1 = 207.4234 , t2 = 410.9576 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  452 : gt = 102 , t1 = 156.8639 , t2 = 420.0323 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  453 : gt = 102 , t1 = 418.7359 , t2 = 420.0323 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  454 : gt =  74 , t1 = 300.7639 , t2 = 302.0603 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  455 : gt = 224 , t1 = 103.0931 , t2 = 104.3981 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  456 : gt = 102 , t1 = 211.4061 , t2 = 421.5072 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  457 : gt = 100 , t1 = 104.3981 , t2 = 414.9823 . avg.P-score = 0.0469 , ALOTC-score= 1 *
id =  458 : gt = 102 , t1 = 421.5072 , t2 = 422.8121 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  459 : gt = 100 , t1 = 412.3723 , t2 = 413.6773 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  460 : gt = 104 , t1 = 211.2839 , t2 = 421.2873 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  461 : gt = 104 , t1 = 250.9797 , t2 = 252.2602 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  462 : gt = 104 , t1 = 212.5644 , t2 = 421.2873 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  463 : gt = 104 , t1 = 108.3130 , t2 = 429.3370 . avg.P-score = 0.0632 , ALOTC-score= 1 *
id =  464 : gt = 102 , t1 = 420.2022 , t2 = 421.5072 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  465 : gt = 104 , t1 = 430.7089 , t2 = 432.0180 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  466 : gt = 104 , t1 = 430.7089 , t2 = 432.0180 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  467 : gt = 104 , t1 = 429.3370 , t2 = 430.6420 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  468 : gt = 104 , t1 = 214.6999 , t2 = 216.0090 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  469 : gt = 102 , t1 = 215.3210 , t2 = 429.3370 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  470 : gt = 104 , t1 = 215.3210 , t2 = 216.6260 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  471 : gt = 100 , t1 = 413.6773 , t2 = 414.9823 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  472 : gt = 100 , t1 = 103.0931 , t2 = 104.3981 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  473 : gt = 100 , t1 = 103.0931 , t2 = 104.3981 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  474 : gt = 104 , t1 = 429.3370 , t2 = 430.6420 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  475 : gt = 104 , t1 = 429.3370 , t2 = 430.6420 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  476 : gt = 104 , t1 = 429.3370 , t2 = 430.6420 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  477 : gt = 100 , t1 = 130.4976 , t2 = 413.6773 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  478 : gt = 100 , t1 = 412.3723 , t2 = 413.6773 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  479 : gt = 100 , t1 = 207.4911 , t2 = 413.6773 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  480 : gt = 202 , t1 = 405.9212 , t2 = 407.2017 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  481 : gt = 100 , t1 = 103.2685 , t2 = 414.3812 . avg.P-score = 0.0545 , ALOTC-score= 1 *
id =  482 : gt = 100 , t1 =  57.5166 , t2 = 414.3812 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  483 : gt = 100 , t1 = 414.3812 , t2 = 415.6884 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  484 : gt = 100 , t1 = 103.2685 , t2 = 104.5757 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  485 : gt = 100 , t1 = 103.0931 , t2 = 104.3981 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  486 : gt = 100 , t1 = 207.4911 , t2 = 413.6773 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  487 : gt = 100 , t1 = 105.7030 , t2 = 421.5072 . avg.P-score = 0.0578 , ALOTC-score= 1 *
id =  488 : gt = 100 , t1 = 415.0160 , t2 = 416.3294 . avg.P-score = 0.0000 , ALOTC-score= 0
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - P-score = 0.0690 alotc = 0.1744
Tango
id =  142 : gt = 128 , t1 =  57.0414 , t2 = 129.6396 . avg.P-score = 0.4741 , ALOTC-score= 1 *
id =  143 : gt = 128 , t1 =  57.0414 , t2 =  66.1162 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  144 : gt = 128 , t1 =  62.2270 , t2 = 130.9360 . avg.P-score = 0.3991 , ALOTC-score= 1 *
id =  145 : gt = 128 , t1 = 130.9360 , t2 = 132.2324 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  146 : gt = 128 , t1 = 263.1684 , t2 = 264.4648 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  147 : gt = 128 , t1 = 263.1684 , t2 = 267.0576 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  148 : gt = 128 , t1 = 264.4648 , t2 = 265.7612 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  149 : gt = 128 , t1 =  73.8946 , t2 = 133.5288 . avg.P-score = 0.9746 , ALOTC-score= 1 *
id =  150 : gt = 128 , t1 =  62.2270 , t2 = 130.9360 . avg.P-score = 0.4039 , ALOTC-score= 1 *
id =  151 : gt = 132 , t1 = 134.8252 , t2 = 136.1216 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  152 : gt = 128 , t1 =  57.0414 , t2 = 132.2324 . avg.P-score = 0.5160 , ALOTC-score= 1 *
id =  153 : gt = 128 , t1 =  55.7450 , t2 = 269.6504 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  154 : gt = 128 , t1 =  64.8198 , t2 = 264.4648 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  155 : gt = 128 , t1 = 263.1684 , t2 = 264.4648 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  156 : gt = 128 , t1 = 263.1684 , t2 = 264.4648 . avg.P-score = 0.0000 , ALOTC-score= 0
