/home/slee/miniconda3/bin/python /home/slee/Desktop/code/mir-hw2/q3.py
floats only print 4.4f



tempo / 2 :


Cha Cha
id =  489 : gt = 124 , t1 = 127.8876 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  203 : gt = 128 , t1 =  28.7095 , t2 =  29.3620 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  204 : gt = 132 , t1 = 138.3274 , t2 = 138.9799 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  205 : gt = 128 , t1 = 135.7175 , t2 = 136.3700 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  206 : gt = 128 , t1 =  67.2063 , t2 =  67.8587 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  207 : gt = 132 , t1 =  67.4210 , t2 =  68.0756 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  208 : gt = 128 , t1 = 135.7175 , t2 = 137.6749 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  209 : gt = 128 , t1 =  36.0015 , t2 =  66.7664 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  210 : gt = 112 , t1 =  27.7929 , t2 =  28.4246 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  211 : gt = 116 , t1 =  58.1125 , t2 =  58.7441 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  212 : gt = 116 , t1 =  57.4808 , t2 =  58.1125 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  213 : gt = 116 , t1 =  61.9024 , t2 = 118.7516 . avg.P-score = 0.3926 , ALOTC-score= 1 *
id =  214 : gt = 116 , t1 =  27.7929 , t2 =  28.4246 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  215 : gt = 120 , t1 =  59.3758 , t2 =  60.6391 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  216 : gt = 120 , t1 =  58.7441 , t2 =  62.5341 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  217 : gt = 120 , t1 =  28.4246 , t2 =  31.5829 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  218 : gt = 120 , t1 =  32.2145 , t2 =  62.5341 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  219 : gt = 120 , t1 =  28.4246 , t2 =  29.6879 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  220 : gt = 124 , t1 =  27.7929 , t2 =  60.6391 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  221 : gt = 124 , t1 = 121.9099 , t2 = 122.5415 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  222 : gt = 128 , t1 = 122.5415 , t2 = 123.1732 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  223 : gt = 128 , t1 =  30.3196 , t2 =  64.4291 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  224 : gt = 132 , t1 = 132.0164 , t2 = 132.6481 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  225 : gt = 128 , t1 =  49.6735 , t2 = 133.3340 . avg.P-score = 0.9667 , ALOTC-score= 1 *
id =  226 : gt = 128 , t1 =  34.1452 , t2 =  49.9045 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  227 : gt = 128 , t1 =  33.9871 , t2 =  66.6670 . avg.P-score = 0.0000 , ALOTC-score= 0  
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - P-score = 0.3175 alotc = 0.3721 

Viennese Waltz
id =  338 : gt = 174 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  339 : gt = 174 , t1 =  28.5207 , t2 =  88.8031 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  340 : gt = 174 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  341 : gt = 174 , t1 =  89.4513 , t2 =  90.0995 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  342 : gt = 180 , t1 =  29.1689 , t2 =  92.0441 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  343 : gt = 180 , t1 =  29.1689 , t2 =  92.6923 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  344 : gt = 180 , t1 =  92.0441 , t2 =  92.6923 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  345 : gt = 180 , t1 =  92.0441 , t2 =  92.6923 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  346 : gt = 180 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  347 : gt = 180 , t1 =  28.5207 , t2 =  33.0581 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  348 : gt = 180 , t1 =  28.5207 , t2 =  92.6923 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  349 : gt = 177 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  350 : gt = 180 , t1 =  28.5207 , t2 =  91.3959 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  351 : gt = 180 , t1 =  31.1135 , t2 =  92.6923 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  352 : gt = 180 , t1 =  29.1689 , t2 =  31.1135 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  353 : gt = 180 , t1 =  92.0441 , t2 =  93.3405 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  354 : gt = 180 , t1 =  92.0441 , t2 =  93.3405 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  355 : gt = 180 , t1 =  93.9887 , t2 =  94.6369 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  356 : gt = 180 , t1 =  28.5207 , t2 =  93.3405 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  357 : gt = 180 , t1 =  61.5788 , t2 =  62.2270 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  358 : gt = 180 , t1 =  28.5207 , t2 =  93.3405 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  359 : gt = 180 , t1 =  27.8725 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  360 : gt = 180 , t1 =  90.0995 , t2 =  90.7477 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  361 : gt = 180 , t1 =  92.6923 , t2 =  93.9887 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  362 : gt = 180 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  363 : gt = 180 , t1 =  92.6923 , t2 =  93.3405 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  364 : gt = 177 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  365 : gt = 180 , t1 =  92.6923 , t2 =  93.3405 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  366 : gt = 180 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  367 : gt = 180 , t1 =  28.5207 , t2 =  92.0441 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  368 : gt = 180 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  369 : gt = 180 , t1 =  28.5207 , t2 =  90.7477 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  370 : gt = 180 , t1 =  29.1689 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  371 : gt = 180 , t1 =  92.6923 , t2 =  93.3405 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  372 : gt = 180 , t1 =  92.0441 , t2 =  92.6923 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  373 : gt = 174 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  374 : gt = 177 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  375 : gt = 177 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  376 : gt = 177 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  377 : gt = 177 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  378 : gt = 177 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  379 : gt = 177 , t1 =  91.3959 , t2 =  92.0441 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  380 : gt = 177 , t1 =  29.8171 , t2 =  90.7477 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  381 : gt = 174 , t1 =  89.4513 , t2 =  90.0995 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  382 : gt = 177 , t1 =  29.1689 , t2 =  91.3959 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  383 : gt = 177 , t1 =  29.1689 , t2 =  31.1135 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  384 : gt = 177 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  385 : gt = 177 , t1 =  28.5207 , t2 =  91.3959 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  386 : gt = 177 , t1 =  90.7477 , t2 =  91.3959 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  387 : gt = 174 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  388 : gt = 177 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  389 : gt = 174 , t1 =  29.1689 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  390 : gt = 177 , t1 =  90.7477 , t2 =  91.3959 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  391 : gt = 177 , t1 =  90.6958 , t2 =  91.3483 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  392 : gt = 180 , t1 =  28.8012 , t2 =  30.1103 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  393 : gt = 180 , t1 =  31.0627 , t2 =  31.7236 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  394 : gt = 180 , t1 =  30.0144 , t2 =  61.9863 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  395 : gt = 180 , t1 =  28.7095 , t2 =  93.9583 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  396 : gt = 174 , t1 =  89.3908 , t2 =  90.0433 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  397 : gt = 174 , t1 =  29.3620 , t2 =  60.0289 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  398 : gt = 180 , t1 =  29.4558 , t2 =  30.1103 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  399 : gt = 180 , t1 =  61.3339 , t2 =  61.9863 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  400 : gt = 180 , t1 =  93.4645 , t2 =  94.1181 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  401 : gt = 174 , t1 =  29.4119 , t2 =  30.0655 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  402 : gt = 177 , t1 =  28.7583 , t2 =  29.4119 . avg.P-score = 0.0000 , ALOTC-score= 0  
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - P-score = 0.0000 alotc = 0.0000 

Slow Waltz
id =  228 : gt =  87 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  229 : gt =  87 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  230 : gt =  87 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  231 : gt =  87 , t1 =  89.4513 , t2 =  90.0995 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  232 : gt =  87 , t1 =  27.8725 , t2 =  42.1329 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  233 : gt =  84 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  234 : gt =  84 , t1 =  85.5621 , t2 =  86.2103 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  235 : gt =  84 , t1 =  28.5207 , t2 =  45.3739 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  236 : gt =  87 , t1 =  29.1689 , t2 =  45.3739 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  237 : gt =  87 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  238 : gt =  87 , t1 =  28.5207 , t2 =  89.4513 . avg.P-score = 0.4942 , ALOTC-score= 1 *
id =  239 : gt =  87 , t1 =  27.8725 , t2 =  45.3739 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  240 : gt =  87 , t1 =  89.4513 , t2 =  90.0995 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  241 : gt =  84 , t1 =  27.8725 , t2 =  73.2464 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  242 : gt =  87 , t1 =  28.5207 , t2 =  41.4847 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  243 : gt =  87 , t1 =  28.5207 , t2 =  30.4653 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  244 : gt =  87 , t1 =  28.5207 , t2 =  44.0775 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  245 : gt =  87 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  246 : gt =  87 , t1 =  29.1689 , t2 =  43.4293 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  247 : gt =  87 , t1 =  28.5207 , t2 =  44.7257 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  248 : gt =  87 , t1 =  27.8725 , t2 =  46.0221 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  249 : gt =  87 , t1 =  44.7257 , t2 =  45.3739 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  250 : gt =  87 , t1 =  28.5207 , t2 =  46.0221 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  251 : gt =  87 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  252 : gt =  87 , t1 =  28.5207 , t2 =  44.7257 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  253 : gt =  87 , t1 =  27.8725 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  254 : gt =  87 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  255 : gt =  84 , t1 =  28.5207 , t2 =  86.2103 . avg.P-score = 0.4574 , ALOTC-score= 1 *
id =  256 : gt =  87 , t1 =  27.8725 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  257 : gt =  87 , t1 =  28.5207 , t2 =  36.2991 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  258 : gt =  84 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  259 : gt =  81 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  260 : gt =  87 , t1 =  28.5207 , t2 =  43.4293 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  261 : gt =  87 , t1 =  29.1689 , t2 =  89.4513 . avg.P-score = 0.5235 , ALOTC-score= 1 *
id =  262 : gt =  87 , t1 =  88.8031 , t2 =  89.4513 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  263 : gt =  87 , t1 =  27.8725 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  264 : gt =  87 , t1 =  89.4513 , t2 =  90.0995 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  265 : gt =  84 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  266 : gt =  84 , t1 =  28.5207 , t2 =  88.8031 . avg.P-score = 0.4515 , ALOTC-score= 1 *
id =  267 : gt =  84 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  268 : gt =  84 , t1 =  86.8585 , t2 =  87.5067 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  269 : gt =  84 , t1 =  28.5207 , t2 =  42.7811 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  270 : gt =  84 , t1 =  42.1329 , t2 =  42.7811 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  271 : gt =  84 , t1 =  30.4653 , t2 =  34.3545 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  272 : gt =  87 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  273 : gt =  84 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  274 : gt =  87 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  275 : gt =  84 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  276 : gt =  87 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  277 : gt =  87 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  278 : gt =  84 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  279 : gt =  84 , t1 =  28.5207 , t2 =  31.1135 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  280 : gt =  87 , t1 =  28.5207 , t2 =  31.7617 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  281 : gt =  84 , t1 =  42.7811 , t2 =  43.4293 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  282 : gt =  87 , t1 =  87.5067 , t2 =  88.8031 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  283 : gt =  87 , t1 =  86.2103 , t2 =  88.8031 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  284 : gt =  87 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  285 : gt =  87 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  286 : gt =  84 , t1 =  27.2243 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  287 : gt =  84 , t1 =  86.8585 , t2 =  88.8031 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  288 : gt =  87 , t1 =  29.8171 , t2 =  46.0221 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  289 : gt =  87 , t1 =  89.4513 , t2 =  90.0995 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  290 : gt =  87 , t1 =  28.5207 , t2 =  42.1329 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  291 : gt =  84 , t1 =  27.8725 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  292 : gt =  87 , t1 =  28.5207 , t2 =  29.8171 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  293 : gt =  87 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  294 : gt =  87 , t1 =  89.4513 , t2 =  90.0995 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  295 : gt =  84 , t1 =  41.4847 , t2 =  86.8585 . avg.P-score = 0.3603 , ALOTC-score= 1 *
id =  296 : gt =  87 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  297 : gt =  87 , t1 =  44.7257 , t2 =  90.0995 . avg.P-score = 0.5233 , ALOTC-score= 1 *
id =  298 : gt =  87 , t1 =  28.5207 , t2 =  46.6703 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  299 : gt =  87 , t1 =  28.5207 , t2 =  90.0995 . avg.P-score = 0.5746 , ALOTC-score= 1 *
id =  300 : gt =  87 , t1 =  29.1689 , t2 =  89.4513 . avg.P-score = 0.5521 , ALOTC-score= 1 *
id =  301 : gt =  84 , t1 =  28.5207 , t2 =  85.5621 . avg.P-score = 0.4856 , ALOTC-score= 1 *
id =  302 : gt =  84 , t1 =  28.5207 , t2 =  29.1689 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  303 : gt =  84 , t1 =  28.7095 , t2 =  29.3620 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  304 : gt =  87 , t1 =  28.8012 , t2 =  91.6402 . avg.P-score = 0.4402 , ALOTC-score= 1 *
id =  305 : gt =  90 , t1 =  43.8564 , t2 =  76.5850 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  306 : gt =  87 , t1 =  28.8012 , t2 =  29.4558 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  307 : gt =  84 , t1 =  35.4602 , t2 =  47.9370 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  308 : gt =  90 , t1 =  28.8012 , t2 =  62.1844 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  309 : gt =  84 , t1 =  28.7095 , t2 =  43.0642 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  310 : gt =  84 , t1 =  28.0570 , t2 =  28.7095 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  311 : gt =  84 , t1 =  28.7095 , t2 =  43.0642 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  312 : gt =  84 , t1 =  28.0570 , t2 =  28.7095 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  313 : gt =  84 , t1 =  44.3692 , t2 =  45.0217 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  314 : gt =  84 , t1 =  28.0570 , t2 =  28.7095 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  315 : gt =  84 , t1 =  28.0570 , t2 =  28.7095 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  316 : gt =  84 , t1 =  81.8216 , t2 =  86.4036 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  317 : gt =  84 , t1 =  28.7095 , t2 =  42.4117 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  318 : gt =  91 , t1 =  28.1712 , t2 =  30.0920 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  319 : gt =  90 , t1 = 135.0937 , t2 = 135.7339 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  320 : gt =  84 , t1 =  28.8114 , t2 =  40.3360 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  321 : gt =  94 , t1 =  43.5373 , t2 =  44.1775 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  322 : gt =  72 , t1 =  28.1712 , t2 =  39.0555 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  323 : gt =  86 , t1 =  28.1712 , t2 =  28.8114 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  324 : gt =  87 , t1 =  29.1689 , t2 =  34.3545 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  325 : gt =  87 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  326 : gt =  87 , t1 =  27.8725 , t2 =  28.5207 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  327 : gt =  87 , t1 =  44.7257 , t2 =  58.9860 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  328 : gt =  87 , t1 =  28.7583 , t2 =  32.6799 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  329 : gt =  87 , t1 =  37.9087 , t2 = 175.1643 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  330 : gt =  87 , t1 =  28.8921 , t2 =  45.9647 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  331 : gt =  87 , t1 =  28.7583 , t2 =  29.4119 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  332 : gt =  80 , t1 =  28.1712 , t2 =  90.2759 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  333 : gt =  96 , t1 =  28.1712 , t2 =  28.8114 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  334 : gt =  94 , t1 =  28.8114 , t2 =  29.4517 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  335 : gt =  60 , t1 =  27.5309 , t2 =  28.1712 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  336 : gt =  88 , t1 =  27.5309 , t2 =  28.1712 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  337 : gt = 112 , t1 =  35.2140 , t2 =  55.7021 . avg.P-score = 0.0000 , ALOTC-score= 0  
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - P-score = 0.1533 alotc = 0.2000 

.
        Cha Cha : avg.P-score = 0.9116 , avg.ALOTC = 0.990990990990991
           Jive : avg.P-score = 0.0495 , avg.ALOTC = 0.05
      Quickstep : avg.P-score = 0.0000 , avg.ALOTC = 0.0
          Rumba : avg.P-score = 0.7235 , avg.ALOTC = 0.8163265306122449
          Samba : avg.P-score = 0.1654 , avg.ALOTC = 0.313953488372093
          Tango : avg.P-score = 0.3175 , avg.ALOTC = 0.37209302325581395
 Viennese Waltz : avg.P-score = 0.0000 , avg.ALOTC = 0.0
     Slow Waltz : avg.P-score = 0.1533 , avg.ALOTC = 0.2



tempo / 3 :


Cha Cha
id =  489 : gt = 124 , t1 =  85.2584 , t2 =  85.6934 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  490 : gt = 136 , t1 =  89.7996 , t2 =  90.2212 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  491 : gt = 123 , t1 =  82.9693 , t2 =  83.4015 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  492 : gt = 124 , t1 =  83.4015 , t2 =  85.1300 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  493 : gt = 124 , t1 =  63.0913 , t2 =  85.1300 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  494 : gt = 124 , t1 =  19.4643 , t2 =  83.3582 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  495 : gt = 124 , t1 =  42.7811 , t2 =  85.1300 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  496 : gt = 124 , t1 =  85.1300 , t2 =  85.5621 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  497 : gt = 124 , t1 =  85.1300 , t2 =  85.5621 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  498 : gt = 124 , t1 =  19.4459 , t2 =  85.1300 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  499 : gt = 124 , t1 =  85.1300 , t2 =  85.5621 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  500 : gt = 124 , t1 =  84.6979 , t2 =  85.1300 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  501 : gt = 124 , t1 =  84.6979 , t2 =  85.1300 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  502 : gt = 124 , t1 =  83.3582 , t2 =  84.2044 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  503 : gt = 124 , t1 =  85.1300 , t2 =  85.5621 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  504 : gt = 124 , t1 =  20.7423 , t2 =  85.1300 . avg.P-score = 0.0000 , ALOTC-score= 0  
id =  505 : gt = 124 , t1 =  85.1300 , t2 =  85.5621 . avg.P-score = 0.0000 , ALOTC-score= 0  
