floats only print 4.4f
Cha Cha
id =  489 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . t1/t2 = 1.0051 , t1/gt = 2.0627 , t2/gt = 2.0732
id =   71 : gt = 204 , t1 = 107.0080 , t2 = 108.3130 . t1/t2 = 1.0122 , t1/gt = 0.5245 , t2/gt = 0.5309
id =   72 : gt = 204 , t1 = 110.3152 , t2 = 111.6285 . t1/t2 = 1.0119 , t1/gt = 0.5408 , t2/gt = 0.5472
id =   73 : gt = 204 , t1 =  57.2516 , t2 = 184.7664 . t1/t2 = 3.2273 , t1/gt = 0.2806 , t2/gt = 0.9057
id =   74 : gt = 204 , t1 = 216.6906 , t2 = 218.0039 . t1/t2 = 1.0061 , t1/gt = 1.0622 , t2/gt = 1.0686
id =   75 : gt = 219 , t1 = 217.6865 , t2 = 218.9670 . t1/t2 = 1.0059 , t1/gt = 0.9940 , t2/gt = 0.9998
id =   76 : gt = 200 , t1 = 204.8306 , t2 = 207.4234 . t1/t2 = 1.0127 , t1/gt = 1.0242 , t2/gt = 1.0371
id =   77 : gt = 204 , t1 = 208.7198 , t2 = 211.3126 . t1/t2 = 1.0124 , t1/gt = 1.0231 , t2/gt = 1.0358
id =   78 : gt = 204 , t1 =  57.0414 , t2 = 210.0162 . t1/t2 = 3.6818 , t1/gt = 0.2796 , t2/gt = 1.0295
id =   79 : gt = 153 , t1 =  57.0414 , t2 = 208.7198 . t1/t2 = 3.6591 , t1/gt = 0.3728 , t2/gt = 1.3642
id =   80 : gt = 153 , t1 = 201.6768 , t2 = 209.3354 . t1/t2 = 1.0380 , t1/gt = 1.3181 , t2/gt = 1.3682
id =   81 : gt = 153 , t1 = 152.9747 , t2 = 160.7531 . t1/t2 = 1.0508 , t1/gt = 0.9998 , t2/gt = 1.0507
id =   82 : gt = 153 , t1 = 208.7198 , t2 = 210.0162 . t1/t2 = 1.0062 , t1/gt = 1.3642 , t2/gt = 1.3727
id =   83 : gt = 200 , t1 = 204.8306 , t2 = 206.1270 . t1/t2 = 1.0063 , t1/gt = 1.0242 , t2/gt = 1.0306
id =   84 : gt = 204 , t1 = 136.1216 , t2 = 208.7198 . t1/t2 = 1.5333 , t1/gt = 0.6673 , t2/gt = 1.0231
id =   85 : gt = 204 , t1 = 206.1270 , t2 = 207.4234 . t1/t2 = 1.0063 , t1/gt = 1.0104 , t2/gt = 1.0168
id =   86 : gt = 200 , t1 = 206.1270 , t2 = 207.4234 . t1/t2 = 1.0063 , t1/gt = 1.0306 , t2/gt = 1.0371
id =   87 : gt = 204 , t1 = 211.3126 , t2 = 212.6090 . t1/t2 = 1.0061 , t1/gt = 1.0358 , t2/gt = 1.0422
id =   88 : gt = 204 , t1 = 105.0081 , t2 = 106.3045 . t1/t2 = 1.0123 , t1/gt = 0.5147 , t2/gt = 0.5211
id =   89 : gt = 204 , t1 = 208.7198 , t2 = 210.0162 . t1/t2 = 1.0062 , t1/gt = 1.0231 , t2/gt = 1.0295
id =   90 : gt = 208 , t1 = 213.9054 , t2 = 215.2017 . t1/t2 = 1.0061 , t1/gt = 1.0284 , t2/gt = 1.0346
id =   91 : gt = 208 , t1 =  55.7450 , t2 = 212.6090 . t1/t2 = 3.8140 , t1/gt = 0.2680 , t2/gt = 1.0222
id =   92 : gt = 208 , t1 = 212.6090 , t2 = 213.9054 . t1/t2 = 1.0061 , t1/gt = 1.0222 , t2/gt = 1.0284
id =   93 : gt = 208 , t1 = 212.6090 , t2 = 213.9054 . t1/t2 = 1.0061 , t1/gt = 1.0222 , t2/gt = 1.0284
id =   94 : gt = 208 , t1 = 211.3126 , t2 = 212.6090 . t1/t2 = 1.0061 , t1/gt = 1.0159 , t2/gt = 1.0222
id =   95 : gt = 208 , t1 = 107.6009 , t2 = 215.2017 . t1/t2 = 2.0000 , t1/gt = 0.5173 , t2/gt = 1.0346
id =   96 : gt = 208 , t1 =  57.0414 , t2 =  59.6342 . t1/t2 = 1.0455 , t1/gt = 0.2742 , t2/gt = 0.2867
id =   97 : gt = 208 , t1 = 211.3126 , t2 = 212.6090 . t1/t2 = 1.0061 , t1/gt = 1.0159 , t2/gt = 1.0222
id =   98 : gt = 208 , t1 = 213.9054 , t2 = 215.2017 . t1/t2 = 1.0061 , t1/gt = 1.0284 , t2/gt = 1.0346
id =   99 : gt = 208 , t1 = 212.6090 , t2 = 216.4981 . t1/t2 = 1.0183 , t1/gt = 1.0222 , t2/gt = 1.0409
id =  100 : gt = 208 , t1 = 212.6090 , t2 = 213.9054 . t1/t2 = 1.0061 , t1/gt = 1.0222 , t2/gt = 1.0284
id =  101 : gt = 204 , t1 = 208.7198 , t2 = 211.3126 . t1/t2 = 1.0124 , t1/gt = 1.0231 , t2/gt = 1.0358
id =  102 : gt = 204 , t1 = 207.4234 , t2 = 210.0162 . t1/t2 = 1.0125 , t1/gt = 1.0168 , t2/gt = 1.0295
id =  103 : gt = 204 , t1 = 208.7198 , t2 = 210.0162 . t1/t2 = 1.0062 , t1/gt = 1.0231 , t2/gt = 1.0295
id =  104 : gt = 204 , t1 =  57.0414 , t2 = 101.1189 . t1/t2 = 1.7727 , t1/gt = 0.2796 , t2/gt = 0.4957
id =  105 : gt = 200 , t1 = 204.8306 , t2 = 207.4234 . t1/t2 = 1.0127 , t1/gt = 1.0242 , t2/gt = 1.0371
id =  106 : gt = 208 , t1 = 212.6090 , t2 = 215.2017 . t1/t2 = 1.0122 , t1/gt = 1.0222 , t2/gt = 1.0346
id =  107 : gt = 208 , t1 =  57.0414 , t2 =  75.1910 . t1/t2 = 1.3182 , t1/gt = 0.2742 , t2/gt = 0.3615
id =  108 : gt = 204 , t1 = 102.4153 , t2 = 212.6090 . t1/t2 = 2.0759 , t1/gt = 0.5020 , t2/gt = 1.0422
id =  109 : gt = 208 , t1 = 213.9054 , t2 = 215.2017 . t1/t2 = 1.0061 , t1/gt = 1.0284 , t2/gt = 1.0346
id =  110 : gt = 204 , t1 = 198.3486 , t2 = 208.7198 . t1/t2 = 1.0523 , t1/gt = 0.9723 , t2/gt = 1.0231
id =  111 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . t1/t2 = 1.0062 , t1/gt = 1.0295 , t2/gt = 1.0358
id =  112 : gt = 204 , t1 =  55.7450 , t2 =  79.0802 . t1/t2 = 1.4186 , t1/gt = 0.2733 , t2/gt = 0.3876
id =  113 : gt = 204 , t1 =  57.0414 , t2 = 208.7198 . t1/t2 = 3.6591 , t1/gt = 0.2796 , t2/gt = 1.0231
id =  114 : gt = 200 , t1 = 206.1270 , t2 = 207.4234 . t1/t2 = 1.0063 , t1/gt = 1.0306 , t2/gt = 1.0371
id =  115 : gt = 204 , t1 = 211.3126 , t2 = 212.6090 . t1/t2 = 1.0061 , t1/gt = 1.0358 , t2/gt = 1.0422
id =  116 : gt = 200 , t1 = 206.1270 , t2 = 207.4234 . t1/t2 = 1.0063 , t1/gt = 1.0306 , t2/gt = 1.0371
id =  117 : gt = 204 , t1 = 208.7198 , t2 = 210.0162 . t1/t2 = 1.0062 , t1/gt = 1.0231 , t2/gt = 1.0295
id =  118 : gt = 204 , t1 = 211.3126 , t2 = 212.6090 . t1/t2 = 1.0061 , t1/gt = 1.0358 , t2/gt = 1.0422
id =  119 : gt = 204 , t1 = 210.0162 , t2 = 213.9054 . t1/t2 = 1.0185 , t1/gt = 1.0295 , t2/gt = 1.0486
id =  120 : gt = 204 , t1 = 208.7198 , t2 = 210.0162 . t1/t2 = 1.0062 , t1/gt = 1.0231 , t2/gt = 1.0295
id =  121 : gt = 200 , t1 = 207.4234 , t2 = 210.0162 . t1/t2 = 1.0125 , t1/gt = 1.0371 , t2/gt = 1.0501
id =  122 : gt = 208 , t1 =  55.7450 , t2 = 107.6009 . t1/t2 = 1.9302 , t1/gt = 0.2680 , t2/gt = 0.5173
id =  123 : gt = 200 , t1 = 204.8306 , t2 = 210.0162 . t1/t2 = 1.0253 , t1/gt = 1.0242 , t2/gt = 1.0501
id =  124 : gt = 200 , t1 = 206.1270 , t2 = 207.4234 . t1/t2 = 1.0063 , t1/gt = 1.0306 , t2/gt = 1.0371
id =  125 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . t1/t2 = 1.0062 , t1/gt = 1.0295 , t2/gt = 1.0358
id =  126 : gt = 208 , t1 = 213.9054 , t2 = 215.2017 . t1/t2 = 1.0061 , t1/gt = 1.0284 , t2/gt = 1.0346
id =  127 : gt = 200 , t1 = 203.5342 , t2 = 204.8306 . t1/t2 = 1.0064 , t1/gt = 1.0177 , t2/gt = 1.0242
id =  128 : gt = 200 , t1 = 204.8306 , t2 = 206.1270 . t1/t2 = 1.0063 , t1/gt = 1.0242 , t2/gt = 1.0306
id =  129 : gt = 200 , t1 = 203.5342 , t2 = 204.8306 . t1/t2 = 1.0064 , t1/gt = 1.0177 , t2/gt = 1.0242
id =  130 : gt = 204 , t1 =  57.0414 , t2 = 105.0081 . t1/t2 = 1.8409 , t1/gt = 0.2796 , t2/gt = 0.5147
id =  131 : gt = 200 , t1 = 204.8306 , t2 = 208.7198 . t1/t2 = 1.0190 , t1/gt = 1.0242 , t2/gt = 1.0436
id =  132 : gt = 204 , t1 = 207.4234 , t2 = 210.0162 . t1/t2 = 1.0125 , t1/gt = 1.0168 , t2/gt = 1.0295
id =  133 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . t1/t2 = 1.0062 , t1/gt = 1.0295 , t2/gt = 1.0358
id =  134 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . t1/t2 = 1.0062 , t1/gt = 1.0295 , t2/gt = 1.0358
id =  135 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . t1/t2 = 1.0062 , t1/gt = 1.0295 , t2/gt = 1.0358
id =  136 : gt = 204 , t1 = 210.0162 , t2 = 211.3126 . t1/t2 = 1.0062 , t1/gt = 1.0295 , t2/gt = 1.0358
id =  137 : gt = 204 , t1 = 208.7198 , t2 = 210.0162 . t1/t2 = 1.0062 , t1/gt = 1.0231 , t2/gt = 1.0295
id =  138 : gt = 204 , t1 =  55.7450 , t2 =  58.3378 . t1/t2 = 1.0465 , t1/gt = 0.2733 , t2/gt = 0.2860
id =  139 : gt = 204 , t1 = 105.0081 , t2 = 210.0162 . t1/t2 = 2.0000 , t1/gt = 0.5147 , t2/gt = 1.0295
id =  140 : gt = 204 , t1 = 132.2324 , t2 = 212.6090 . t1/t2 = 1.6078 , t1/gt = 0.6482 , t2/gt = 1.0422
id =  141 : gt = 200 , t1 = 202.2378 , t2 = 203.5342 . t1/t2 = 1.0064 , t1/gt = 1.0112 , t2/gt = 1.0177
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/t1 = 1.3960
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t1/gt = 0.8201
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/gt = 0.9590
Rumba
id =  600 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . t1/t2 = 1.0061 , t1/gt = 2.0568 , t2/gt = 2.0692
id =  601 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . t1/t2 = 1.0061 , t1/gt = 2.0568 , t2/gt = 2.0692
id =  602 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . t1/t2 = 1.0061 , t1/gt = 2.0568 , t2/gt = 2.0692
id =  603 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . t1/t2 = 1.0061 , t1/gt = 2.0568 , t2/gt = 2.0692
id =  604 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . t1/t2 = 1.0061 , t1/gt = 2.0568 , t2/gt = 2.0692
id =  605 : gt =  88 , t1 = 181.4955 , t2 = 182.7918 . t1/t2 = 1.0071 , t1/gt = 2.0624 , t2/gt = 2.0772
id =  606 : gt =  92 , t1 =  55.7450 , t2 = 119.2684 . t1/t2 = 2.1395 , t1/gt = 0.6059 , t2/gt = 1.2964
id =  607 : gt =  96 , t1 =  70.0054 , t2 =  75.1910 . t1/t2 = 1.0741 , t1/gt = 0.7292 , t2/gt = 0.7832
id =  608 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . t1/t2 = 1.0063 , t1/gt = 2.0483 , t2/gt = 2.0613
id =  609 : gt =  96 , t1 =  55.7450 , t2 =  57.0414 . t1/t2 = 1.0233 , t1/gt = 0.5807 , t2/gt = 0.5942
id =  610 : gt = 100 , t1 =  57.0414 , t2 =  58.3378 . t1/t2 = 1.0227 , t1/gt = 0.5704 , t2/gt = 0.5834
id =  611 : gt = 100 , t1 =  57.0414 , t2 = 206.1270 . t1/t2 = 3.6136 , t1/gt = 0.5704 , t2/gt = 2.0613
id =  612 : gt = 100 , t1 = 204.8306 , t2 = 207.4234 . t1/t2 = 1.0127 , t1/gt = 2.0483 , t2/gt = 2.0742
id =  613 : gt =  84 , t1 =  57.0414 , t2 = 173.7171 . t1/t2 = 3.0455 , t1/gt = 0.6791 , t2/gt = 2.0681
id =  614 : gt = 100 , t1 = 202.2712 , t2 = 203.5762 . t1/t2 = 1.0065 , t1/gt = 2.0227 , t2/gt = 2.0358
id =  615 : gt = 122 , t1 =  56.2933 , t2 = 248.7376 . t1/t2 = 4.4186 , t1/gt = 0.4614 , t2/gt = 2.0388
id =  616 : gt = 122 , t1 =  57.6024 , t2 = 248.7376 . t1/t2 = 4.3182 , t1/gt = 0.4722 , t2/gt = 2.0388
id =  617 : gt =  84 , t1 =  57.4189 , t2 = 173.5618 . t1/t2 = 3.0227 , t1/gt = 0.6836 , t2/gt = 2.0662
id =  618 : gt =  96 , t1 = 198.3563 , t2 = 199.6613 . t1/t2 = 1.0066 , t1/gt = 2.0662 , t2/gt = 2.0798
id =  619 : gt =  96 , t1 = 198.3563 , t2 = 200.9663 . t1/t2 = 1.0132 , t1/gt = 2.0662 , t2/gt = 2.0934
id =  620 : gt =  96 , t1 = 198.3563 , t2 = 199.6613 . t1/t2 = 1.0066 , t1/gt = 2.0662 , t2/gt = 2.0798
id =  621 : gt = 108 , t1 = 195.9178 , t2 = 197.1983 . t1/t2 = 1.0065 , t1/gt = 1.8141 , t2/gt = 1.8259
id =  622 : gt = 100 , t1 = 199.7593 , t2 = 202.3204 . t1/t2 = 1.0128 , t1/gt = 1.9976 , t2/gt = 2.0232
id =  623 : gt =  88 , t1 =  56.3424 , t2 =  88.3551 . t1/t2 = 1.5682 , t1/gt = 0.6403 , t2/gt = 1.0040
id =  624 : gt = 120 , t1 =  55.0619 , t2 = 181.8322 . t1/t2 = 3.3023 , t1/gt = 0.4588 , t2/gt = 1.5153
id =  625 : gt = 120 , t1 = 174.1492 , t2 = 175.4297 . t1/t2 = 1.0074 , t1/gt = 1.4512 , t2/gt = 1.4619
id =  626 : gt = 104 , t1 = 208.7961 , t2 = 215.3210 . t1/t2 = 1.0312 , t1/gt = 2.0077 , t2/gt = 2.0704
id =  627 : gt = 104 , t1 = 214.0160 , t2 = 215.3210 . t1/t2 = 1.0061 , t1/gt = 2.0578 , t2/gt = 2.0704
id =  628 : gt = 104 , t1 = 214.0160 , t2 = 215.3210 . t1/t2 = 1.0061 , t1/gt = 2.0578 , t2/gt = 2.0704
id =  629 : gt = 104 , t1 = 108.3130 , t2 = 215.3210 . t1/t2 = 1.9880 , t1/gt = 1.0415 , t2/gt = 2.0704
id =  630 : gt = 104 , t1 = 214.0160 , t2 = 215.3210 . t1/t2 = 1.0061 , t1/gt = 2.0578 , t2/gt = 2.0704
id =  631 : gt = 104 , t1 =  58.9115 , t2 = 216.0090 . t1/t2 = 3.6667 , t1/gt = 0.5665 , t2/gt = 2.0770
id =  632 : gt = 104 , t1 = 214.0160 , t2 = 215.3210 . t1/t2 = 1.0061 , t1/gt = 2.0578 , t2/gt = 2.0704
id =  633 : gt = 104 , t1 = 203.5762 , t2 = 215.3210 . t1/t2 = 1.0577 , t1/gt = 1.9575 , t2/gt = 2.0704
id =  634 : gt = 104 , t1 = 215.3210 , t2 = 216.6260 . t1/t2 = 1.0061 , t1/gt = 2.0704 , t2/gt = 2.0829
id =  635 : gt = 104 , t1 = 215.3210 , t2 = 216.6260 . t1/t2 = 1.0061 , t1/gt = 2.0704 , t2/gt = 2.0829
id =  636 : gt = 104 , t1 = 216.0090 , t2 = 217.3181 . t1/t2 = 1.0061 , t1/gt = 2.0770 , t2/gt = 2.0896
id =  637 : gt = 104 , t1 = 215.3210 , t2 = 216.6260 . t1/t2 = 1.0061 , t1/gt = 2.0704 , t2/gt = 2.0829
id =  638 : gt = 104 , t1 = 214.0160 , t2 = 215.3210 . t1/t2 = 1.0061 , t1/gt = 2.0578 , t2/gt = 2.0704
id =  639 : gt = 104 , t1 = 215.3210 , t2 = 217.9310 . t1/t2 = 1.0121 , t1/gt = 2.0704 , t2/gt = 2.0955
id =  640 : gt = 104 , t1 = 215.3210 , t2 = 216.6260 . t1/t2 = 1.0061 , t1/gt = 2.0704 , t2/gt = 2.0829
id =  641 : gt = 104 , t1 = 209.1538 , t2 = 210.4291 . t1/t2 = 1.0061 , t1/gt = 2.0111 , t2/gt = 2.0234
id =  642 : gt = 104 , t1 = 216.0090 , t2 = 217.3181 . t1/t2 = 1.0061 , t1/gt = 2.0770 , t2/gt = 2.0896
id =  643 : gt =  96 , t1 = 199.6180 , t2 = 200.9313 . t1/t2 = 1.0066 , t1/gt = 2.0794 , t2/gt = 2.0930
id =  644 : gt =  96 , t1 = 198.6938 , t2 = 200.0010 . t1/t2 = 1.0066 , t1/gt = 2.0697 , t2/gt = 2.0833
id =  645 : gt = 100 , t1 = 206.5370 , t2 = 207.8442 . t1/t2 = 1.0063 , t1/gt = 2.0654 , t2/gt = 2.0784
id =  646 : gt = 100 , t1 = 206.5370 , t2 = 207.8442 . t1/t2 = 1.0063 , t1/gt = 2.0654 , t2/gt = 2.0784
id =  647 : gt = 100 , t1 = 206.1862 , t2 = 207.4911 . t1/t2 = 1.0063 , t1/gt = 2.0619 , t2/gt = 2.0749
id =  648 : gt = 100 , t1 = 206.1862 , t2 = 207.4911 . t1/t2 = 1.0063 , t1/gt = 2.0619 , t2/gt = 2.0749
id =  649 : gt = 100 , t1 = 207.4911 , t2 = 208.7961 . t1/t2 = 1.0063 , t1/gt = 2.0749 , t2/gt = 2.0880
id =  650 : gt = 100 , t1 = 206.1862 , t2 = 207.4911 . t1/t2 = 1.0063 , t1/gt = 2.0619 , t2/gt = 2.0749
id =  651 : gt = 115 , t1 = 227.9305 , t2 = 230.4915 . t1/t2 = 1.0112 , t1/gt = 1.9820 , t2/gt = 2.0043
id =  652 : gt = 135 , t1 =  83.7853 , t2 = 141.3877 . t1/t2 = 1.6875 , t1/gt = 0.6206 , t2/gt = 1.0473
id =  653 : gt = 122 , t1 =  62.7449 , t2 = 240.7356 . t1/t2 = 3.8367 , t1/gt = 0.5143 , t2/gt = 1.9732
id =  654 : gt = 120 , t1 =  56.3424 , t2 = 270.1873 . t1/t2 = 4.7955 , t1/gt = 0.4695 , t2/gt = 2.2516
id =  655 : gt = 115 , t1 =  84.5136 , t2 = 227.9305 . t1/t2 = 2.6970 , t1/gt = 0.7349 , t2/gt = 1.9820
id =  656 : gt = 141 , t1 = 285.5534 , t2 = 286.8339 . t1/t2 = 1.0045 , t1/gt = 2.0252 , t2/gt = 2.0343
id =  657 : gt = 130 , t1 = 259.1164 , t2 = 264.2222 . t1/t2 = 1.0197 , t1/gt = 1.9932 , t2/gt = 2.0325
id =  658 : gt = 100 , t1 =  57.0414 , t2 = 206.1270 . t1/t2 = 3.6136 , t1/gt = 0.5704 , t2/gt = 2.0613
id =  659 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . t1/t2 = 1.0063 , t1/gt = 2.0483 , t2/gt = 2.0613
id =  660 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . t1/t2 = 1.0063 , t1/gt = 2.0613 , t2/gt = 2.0742
id =  661 : gt = 104 , t1 = 213.9054 , t2 = 215.2017 . t1/t2 = 1.0061 , t1/gt = 2.0568 , t2/gt = 2.0692
id =  662 : gt = 100 , t1 = 203.5342 , t2 = 204.8306 . t1/t2 = 1.0064 , t1/gt = 2.0353 , t2/gt = 2.0483
id =  663 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . t1/t2 = 1.0063 , t1/gt = 2.0483 , t2/gt = 2.0613
id =  664 : gt = 104 , t1 =  57.0414 , t2 = 216.4981 . t1/t2 = 3.7955 , t1/gt = 0.5485 , t2/gt = 2.0817
id =  665 : gt =  76 , t1 = 154.2711 , t2 = 155.5675 . t1/t2 = 1.0084 , t1/gt = 2.0299 , t2/gt = 2.0469
id =  666 : gt =  80 , t1 =  57.0414 , t2 =  59.6342 . t1/t2 = 1.0455 , t1/gt = 0.7130 , t2/gt = 0.7454
id =  667 : gt =  96 , t1 =  72.5982 , t2 =  73.8946 . t1/t2 = 1.0179 , t1/gt = 0.7562 , t2/gt = 0.7697
id =  668 : gt = 100 , t1 = 197.0522 , t2 = 198.3486 . t1/t2 = 1.0066 , t1/gt = 1.9705 , t2/gt = 1.9835
id =  669 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . t1/t2 = 1.0063 , t1/gt = 2.0613 , t2/gt = 2.0742
id =  670 : gt = 100 , t1 = 203.5342 , t2 = 204.8306 . t1/t2 = 1.0064 , t1/gt = 2.0353 , t2/gt = 2.0483
id =  671 : gt =  76 , t1 =  57.0414 , t2 = 155.5675 . t1/t2 = 2.7273 , t1/gt = 0.7505 , t2/gt = 2.0469
id =  672 : gt = 100 , t1 =  55.7450 , t2 = 202.2378 . t1/t2 = 3.6279 , t1/gt = 0.5575 , t2/gt = 2.0224
id =  673 : gt = 100 , t1 =  55.7450 , t2 =  57.0414 . t1/t2 = 1.0233 , t1/gt = 0.5575 , t2/gt = 0.5704
id =  674 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . t1/t2 = 1.0063 , t1/gt = 2.0613 , t2/gt = 2.0742
id =  675 : gt = 100 , t1 = 206.1270 , t2 = 410.9576 . t1/t2 = 1.9937 , t1/gt = 2.0613 , t2/gt = 4.1096
id =  676 : gt =  76 , t1 =  57.0414 , t2 =  64.8198 . t1/t2 = 1.1364 , t1/gt = 0.7505 , t2/gt = 0.8529
id =  677 : gt =  92 , t1 = 187.9774 , t2 = 189.2738 . t1/t2 = 1.0069 , t1/gt = 2.0432 , t2/gt = 2.0573
id =  678 : gt =  88 , t1 =  55.7450 , t2 =  57.0414 . t1/t2 = 1.0233 , t1/gt = 0.6335 , t2/gt = 0.6482
id =  679 : gt =  92 , t1 =  85.5621 , t2 =  86.8585 . t1/t2 = 1.0152 , t1/gt = 0.9300 , t2/gt = 0.9441
id =  680 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . t1/t2 = 1.0063 , t1/gt = 2.0613 , t2/gt = 2.0742
id =  681 : gt = 100 , t1 = 203.5342 , t2 = 204.8306 . t1/t2 = 1.0064 , t1/gt = 2.0353 , t2/gt = 2.0483
id =  682 : gt =  96 , t1 = 197.0522 , t2 = 198.3486 . t1/t2 = 1.0066 , t1/gt = 2.0526 , t2/gt = 2.0661
id =  683 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . t1/t2 = 1.0063 , t1/gt = 2.0483 , t2/gt = 2.0613
id =  684 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . t1/t2 = 1.0063 , t1/gt = 2.0483 , t2/gt = 2.0613
id =  685 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . t1/t2 = 1.0063 , t1/gt = 2.0483 , t2/gt = 2.0613
id =  686 : gt =  96 , t1 = 198.3486 , t2 = 199.6450 . t1/t2 = 1.0065 , t1/gt = 2.0661 , t2/gt = 2.0796
id =  687 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . t1/t2 = 1.0063 , t1/gt = 2.0483 , t2/gt = 2.0613
id =  688 : gt = 100 , t1 = 204.8306 , t2 = 206.1270 . t1/t2 = 1.0063 , t1/gt = 2.0483 , t2/gt = 2.0613
id =  689 : gt =  96 , t1 = 189.2738 , t2 = 197.0522 . t1/t2 = 1.0411 , t1/gt = 1.9716 , t2/gt = 2.0526
id =  690 : gt =  92 , t1 = 185.3846 , t2 = 191.8666 . t1/t2 = 1.0350 , t1/gt = 2.0151 , t2/gt = 2.0855
id =  691 : gt =  92 , t1 = 187.9774 , t2 = 190.5702 . t1/t2 = 1.0138 , t1/gt = 2.0432 , t2/gt = 2.0714
id =  692 : gt =  92 , t1 =  55.7450 , t2 =  57.0414 . t1/t2 = 1.0233 , t1/gt = 0.6059 , t2/gt = 0.6200
id =  693 : gt = 100 , t1 =  57.0414 , t2 = 206.1270 . t1/t2 = 3.6136 , t1/gt = 0.5704 , t2/gt = 2.0613
id =  694 : gt = 100 , t1 = 203.5342 , t2 = 206.1270 . t1/t2 = 1.0127 , t1/gt = 2.0353 , t2/gt = 2.0613
id =  695 : gt =  76 , t1 = 154.2711 , t2 = 155.5675 . t1/t2 = 1.0084 , t1/gt = 2.0299 , t2/gt = 2.0469
id =  696 : gt =  76 , t1 =  55.7450 , t2 = 155.5675 . t1/t2 = 2.7907 , t1/gt = 0.7335 , t2/gt = 2.0469
id =  697 : gt =  92 , t1 =  57.6229 , t2 =  88.3551 . t1/t2 = 1.5333 , t1/gt = 0.6263 , t2/gt = 0.9604
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/t1 = 1.4777
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t1/gt = 1.5919
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/gt = 1.8927
Samba
id =  403 : gt = 100 , t1 =  57.0414 , t2 = 412.2540 . t1/t2 = 7.2273 , t1/gt = 0.5704 , t2/gt = 4.1225
id =  404 : gt = 100 , t1 = 127.0468 , t2 = 128.3432 . t1/t2 = 1.0102 , t1/gt = 1.2705 , t2/gt = 1.2834
id =  405 : gt = 100 , t1 = 410.9576 , t2 = 412.2540 . t1/t2 = 1.0032 , t1/gt = 4.1096 , t2/gt = 4.1225
id =  406 : gt = 100 , t1 =  57.0414 , t2 = 207.4234 . t1/t2 = 3.6364 , t1/gt = 0.5704 , t2/gt = 2.0742
id =  407 : gt = 100 , t1 = 409.6612 , t2 = 410.9576 . t1/t2 = 1.0032 , t1/gt = 4.0966 , t2/gt = 4.1096
id =  408 : gt =  92 , t1 =  55.7450 , t2 =  57.0414 . t1/t2 = 1.0233 , t1/gt = 0.6059 , t2/gt = 0.6200
id =  409 : gt = 100 , t1 = 207.4234 , t2 = 410.9576 . t1/t2 = 1.9813 , t1/gt = 2.0742 , t2/gt = 4.1096
id =  410 : gt = 102 , t1 = 158.1603 , t2 = 211.3126 . t1/t2 = 1.3361 , t1/gt = 1.5506 , t2/gt = 2.0717
id =  411 : gt = 104 , t1 = 213.9054 , t2 = 427.8107 . t1/t2 = 2.0000 , t1/gt = 2.0568 , t2/gt = 4.1136
id =  412 : gt =  88 , t1 = 364.2873 , t2 = 365.5837 . t1/t2 = 1.0036 , t1/gt = 4.1396 , t2/gt = 4.1544
id =  413 : gt = 104 , t1 =  73.8946 , t2 = 106.3045 . t1/t2 = 1.4386 , t1/gt = 0.7105 , t2/gt = 1.0222
id =  414 : gt = 104 , t1 =  57.0414 , t2 = 215.2017 . t1/t2 = 3.7727 , t1/gt = 0.5485 , t2/gt = 2.0692
id =  415 : gt = 102 , t1 = 106.3045 , t2 = 420.0323 . t1/t2 = 3.9512 , t1/gt = 1.0422 , t2/gt = 4.1180
