tempo / 2 :


Cha Cha
id = 489 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.3539 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 188 , gt =128 , t1 =  43.0664 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 0.3365 , t2/gt = 0.5047
id = 189 , gt =128 , t1 =  43.0664 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 0.3365 , t2/gt = 0.5047
id = 190 , gt =128 , t1 =  46.1426 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4000 , t1/gt = 0.3605 , t2/gt = 0.5047
id = 191 , gt =128 , t1 =  43.0664 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 0.3365 , t2/gt = 0.5047
id = 192 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 193 , gt =128 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.5047 , t2/gt = 0.5312
id = 194 , gt =132 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.4894 , t2/gt = 0.5151
id = 195 , gt =132 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.4894 , t2/gt = 0.5151
id = 196 , gt =128 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.5047 , t2/gt = 0.5312
id = 197 , gt =128 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.5047 , t2/gt = 0.5312
id = 198 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 199 , gt =128 , t1 =  43.0664 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 0.3365 , t2/gt = 0.5047
id = 200 , gt =128 , t1 =  32.2998 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2523 , t2/gt = 0.5047
id = 201 , gt =128 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.5047 , t2/gt = 0.5312
id = 202 , gt =132 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.4894 , t2/gt = 0.5151
id = 203 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 204 , gt =132 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.4894 , t2/gt = 0.5151
id = 205 , gt =128 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.5047 , t2/gt = 0.5312
id = 206 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 207 , gt =132 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.4894 , t2/gt = 0.5151
id = 208 , gt =128 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.5047 , t2/gt = 0.5312
id = 209 , gt =128 , t1 =  43.0664 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 0.3365 , t2/gt = 0.5047
id = 210 , gt =112 , t1 =  53.8330 , t2 = 56.1736 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0435 , t1/gt = 0.4807 , t2/gt = 0.5015
id = 211 , gt =116 , t1 =  56.1736 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 0.4843 , t2/gt = 0.5063
id = 212 , gt =116 , t1 =  56.1736 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 0.4843 , t2/gt = 0.5063
id = 213 , gt =116 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.5063 , t2/gt = 0.5304
id = 214 , gt =116 , t1 =  58.7269 , t2 = 75.9995 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2941 , t1/gt = 0.5063 , t2/gt = 0.6552
id = 215 , gt =120 , t1 =  56.1736 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 0.4681 , t2/gt = 0.4894
id = 216 , gt =120 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4894 , t2/gt = 0.5127
id = 217 , gt =120 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4894 , t2/gt = 0.5127
id = 218 , gt =120 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.5127 , t2/gt = 0.5383
id = 219 , gt =120 , t1 =  41.6772 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4762 , t1/gt = 0.3473 , t2/gt = 0.5127
id = 220 , gt =124 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4736 , t2/gt = 0.4962
id = 221 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4490 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 222 , gt =128 , t1 =  56.1736 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0952 , t1/gt = 0.4389 , t2/gt = 0.4807
id = 223 , gt =128 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.4807 , t2/gt = 0.5047
id = 224 , gt =132 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.4894 , t2/gt = 0.5151
id = 225 , gt =128 , t1 =  43.0664 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 0.3365 , t2/gt = 0.5047
id = 226 , gt =128 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.5047 , t2/gt = 0.5312
id = 227 , gt =128 , t1 =  44.5515 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4500 , t1/gt = 0.3481 , t2/gt = 0.5047
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Tango : avg.P-score = 0.0052 , avg.ALOTC = 0.0116
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/t1 = 1.1545
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t1/gt = 0.4594
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/gt = 0.5194
Viennese Waltz
id = 338 , gt =174 , t1 =  58.7269 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1000 , t1/gt = 0.3375 , t2/gt = 0.3713
id = 339 , gt =174 , t1 =  80.7495 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0667 , t1/gt = 0.4641 , t2/gt = 0.4950
id = 340 , gt =174 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.3375 , t2/gt = 0.3536
id = 341 , gt =174 , t1 =  80.7495 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0667 , t1/gt = 0.4641 , t2/gt = 0.4950
id = 342 , gt =180 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.3263 , t2/gt = 0.3418
id = 343 , gt =180 , t1 =  44.5515 , t2 = 46.1426 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0357 , t1/gt = 0.2475 , t2/gt = 0.2563
id = 344 , gt =180 , t1 =  46.1426 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.8667 , t1/gt = 0.2563 , t2/gt = 0.4785
id = 345 , gt =180 , t1 =  46.1426 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.8667 , t1/gt = 0.2563 , t2/gt = 0.4785
id = 346 , gt =180 , t1 =  44.5515 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9333 , t1/gt = 0.2475 , t2/gt = 0.4785
id = 347 , gt =180 , t1 =  61.5234 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4000 , t1/gt = 0.3418 , t2/gt = 0.4785
id = 348 , gt =180 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.3263 , t2/gt = 0.3418
id = 349 , gt =177 , t1 =  61.5234 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4000 , t1/gt = 0.3476 , t2/gt = 0.4866
id = 350 , gt =180 , t1 =  80.7495 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0667 , t1/gt = 0.4486 , t2/gt = 0.4785
id = 351 , gt =180 , t1 =  44.5515 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9333 , t1/gt = 0.2475 , t2/gt = 0.4785
id = 352 , gt =180 , t1 =  44.5515 , t2 = 46.1426 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0357 , t1/gt = 0.2475 , t2/gt = 0.2563
id = 353 , gt =180 , t1 =  44.5515 , t2 = 46.1426 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0357 , t1/gt = 0.2475 , t2/gt = 0.2563
id = 354 , gt =180 , t1 =  44.5515 , t2 = 46.1426 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0357 , t1/gt = 0.2475 , t2/gt = 0.2563
id = 355 , gt =180 , t1 =  46.1426 , t2 = 92.2852 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 0.2563 , t2/gt = 0.5127
id = 356 , gt =180 , t1 =  46.1426 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.8667 , t1/gt = 0.2563 , t2/gt = 0.4785
id = 357 , gt =180 , t1 =  44.5515 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3810 , t1/gt = 0.2475 , t2/gt = 0.3418
id = 358 , gt =180 , t1 =  46.1426 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3333 , t1/gt = 0.2563 , t2/gt = 0.3418
id = 359 , gt =180 , t1 =  58.7269 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1579 , t1/gt = 0.3263 , t2/gt = 0.3778
id = 360 , gt =180 , t1 =  44.5515 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9333 , t1/gt = 0.2475 , t2/gt = 0.4785
id = 361 , gt =180 , t1 =  44.5515 , t2 = 46.1426 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0357 , t1/gt = 0.2475 , t2/gt = 0.2563
id = 362 , gt =180 , t1 =  80.7495 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0667 , t1/gt = 0.4486 , t2/gt = 0.4785
id = 363 , gt =180 , t1 =  46.1426 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.8667 , t1/gt = 0.2563 , t2/gt = 0.4785
id = 364 , gt =177 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.3476 , t2/gt = 0.3650
id = 365 , gt =180 , t1 =  49.6920 , t2 = 75.9995 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5294 , t1/gt = 0.2761 , t2/gt = 0.4222
id = 366 , gt =180 , t1 =  58.7269 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1000 , t1/gt = 0.3263 , t2/gt = 0.3589
id = 367 , gt =180 , t1 =  44.5515 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3810 , t1/gt = 0.2475 , t2/gt = 0.3418
id = 368 , gt =180 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.3418 , t2/gt = 0.3589
id = 369 , gt =180 , t1 =  44.5515 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.8125 , t1/gt = 0.2475 , t2/gt = 0.4486
id = 370 , gt =180 , t1 =  46.1426 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.8667 , t1/gt = 0.2563 , t2/gt = 0.4785
id = 371 , gt =180 , t1 =  44.5515 , t2 = 46.1426 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0357 , t1/gt = 0.2475 , t2/gt = 0.2563
id = 372 , gt =180 , t1 =  44.5515 , t2 = 75.9995 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.7059 , t1/gt = 0.2475 , t2/gt = 0.4222
id = 373 , gt =174 , t1 =  67.9996 , t2 = 75.9995 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1176 , t1/gt = 0.3908 , t2/gt = 0.4368
id = 374 , gt =177 , t1 =  44.5515 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3810 , t1/gt = 0.2517 , t2/gt = 0.3476
id = 375 , gt =177 , t1 =  58.7269 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1579 , t1/gt = 0.3318 , t2/gt = 0.3842
id = 376 , gt =177 , t1 =  67.9996 , t2 = 71.7773 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0556 , t1/gt = 0.3842 , t2/gt = 0.4055
id = 377 , gt =177 , t1 =  58.7269 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4667 , t1/gt = 0.3318 , t2/gt = 0.4866
id = 378 , gt =177 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.3318 , t2/gt = 0.3476
id = 379 , gt =177 , t1 =  44.5515 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3182 , t1/gt = 0.2517 , t2/gt = 0.3318
id = 380 , gt =177 , t1 =  44.5515 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4500 , t1/gt = 0.2517 , t2/gt = 0.3650
id = 381 , gt =174 , t1 =  80.7495 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0667 , t1/gt = 0.4641 , t2/gt = 0.4950
id = 382 , gt =177 , t1 =  44.5515 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9333 , t1/gt = 0.2517 , t2/gt = 0.4866
id = 383 , gt =177 , t1 =  44.5515 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3182 , t1/gt = 0.2517 , t2/gt = 0.3318
id = 384 , gt =177 , t1 =  58.7269 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4667 , t1/gt = 0.3318 , t2/gt = 0.4866
id = 385 , gt =177 , t1 =  58.7269 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4667 , t1/gt = 0.3318 , t2/gt = 0.4866
id = 386 , gt =177 , t1 =  44.5515 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3182 , t1/gt = 0.2517 , t2/gt = 0.3318
id = 387 , gt =174 , t1 =  58.7269 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4667 , t1/gt = 0.3375 , t2/gt = 0.4950
id = 388 , gt =177 , t1 =  46.1426 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.7500 , t1/gt = 0.2607 , t2/gt = 0.4562
id = 389 , gt =174 , t1 =  58.7269 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3750 , t1/gt = 0.3375 , t2/gt = 0.4641
id = 390 , gt =177 , t1 =  44.5515 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9333 , t1/gt = 0.2517 , t2/gt = 0.4866
id = 391 , gt =177 , t1 =  61.5234 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3125 , t1/gt = 0.3476 , t2/gt = 0.4562
id = 392 , gt =180 , t1 =  46.1426 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.8667 , t1/gt = 0.2563 , t2/gt = 0.4785
id = 393 , gt =180 , t1 =  44.5515 , t2 = 46.1426 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0357 , t1/gt = 0.2475 , t2/gt = 0.2563
id = 394 , gt =180 , t1 =  46.1426 , t2 = 71.7773 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5556 , t1/gt = 0.2563 , t2/gt = 0.3988
id = 395 , gt =180 , t1 =  49.6920 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1818 , t1/gt = 0.2761 , t2/gt = 0.3263
id = 396 , gt =174 , t1 =  58.7269 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4667 , t1/gt = 0.3375 , t2/gt = 0.4950
id = 397 , gt =174 , t1 =  56.1736 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 0.3228 , t2/gt = 0.3375
id = 398 , gt =180 , t1 =  58.7269 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4667 , t1/gt = 0.3263 , t2/gt = 0.4785
id = 399 , gt =180 , t1 =  53.8330 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0909 , t1/gt = 0.2991 , t2/gt = 0.3263
id = 400 , gt =180 , t1 =  44.5515 , t2 = 46.1426 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0357 , t1/gt = 0.2475 , t2/gt = 0.2563
id = 401 , gt =174 , t1 =  75.9995 , t2 = 86.1328 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1333 , t1/gt = 0.4368 , t2/gt = 0.4950
id = 402 , gt =177 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.3318 , t2/gt = 0.3476
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Viennese Waltz : avg.P-score = 0.0000 , avg.ALOTC = 0.0000
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/t1 = 1.3613
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t1/gt = 0.3039
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - avg.t2/gt = 0.4039
Slow Waltz
id = 228 , gt = 87 , t1 =  61.5234 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1053 , t1/gt = 0.7072 , t2/gt = 0.7816
id = 229 , gt = 87 , t1 =  58.7269 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1000 , t1/gt = 0.6750 , t2/gt = 0.7425
id = 230 , gt = 87 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.7072 , t2/gt = 0.7425
id = 231 , gt = 87 , t1 =  44.5515 , t2 = 80.7495 . P-score = 0.5233 , ALOTC = 1 . t1/t2 = 1.8125 , t1/gt = 0.5121 , t2/gt = 0.9282
id = 232 , gt = 87 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.7072 , t2/gt = 0.7425
id = 233 , gt = 84 , t1 =  58.7269 , t2 = 80.7495 . P-score = 0.4834 , ALOTC = 1 . t1/t2 = 1.3750 , t1/gt = 0.6991 , t2/gt = 0.9613
id = 234 , gt = 84 , t1 =  41.6772 , t2 = 80.7495 . P-score = 0.4434 , ALOTC = 1 . t1/t2 = 1.9375 , t1/gt = 0.4962 , t2/gt = 0.9613
id = 235 , gt = 84 , t1 =  43.0664 , t2 = 56.1736 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3043 , t1/gt = 0.5127 , t2/gt = 0.6687
id = 236 , gt = 87 , t1 =  56.1736 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0952 , t1/gt = 0.6457 , t2/gt = 0.7072
id = 237 , gt = 87 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.7072 , t2/gt = 0.7425
id = 238 , gt = 87 , t1 =  53.8330 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2000 , t1/gt = 0.6188 , t2/gt = 0.7425
id = 239 , gt = 87 , t1 =  43.0664 , t2 = 44.5515 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0345 , t1/gt = 0.4950 , t2/gt = 0.5121
id = 240 , gt = 87 , t1 =  44.5515 , t2 = 86.1328 . P-score = 0.5571 , ALOTC = 1 . t1/t2 = 1.9333 , t1/gt = 0.5121 , t2/gt = 0.9900
id = 241 , gt = 84 , t1 =  58.7269 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1000 , t1/gt = 0.6991 , t2/gt = 0.7690
id = 242 , gt = 87 , t1 =  61.5234 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1053 , t1/gt = 0.7072 , t2/gt = 0.7816
id = 243 , gt = 87 , t1 =  43.0664 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5000 , t1/gt = 0.4950 , t2/gt = 0.7425
id = 244 , gt = 87 , t1 =  43.0664 , t2 = 44.5515 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0345 , t1/gt = 0.4950 , t2/gt = 0.5121
id = 245 , gt = 87 , t1 =  43.0664 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4286 , t1/gt = 0.4950 , t2/gt = 0.7072
id = 246 , gt = 87 , t1 =  64.5996 , t2 = 71.7773 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1111 , t1/gt = 0.7425 , t2/gt = 0.8250
id = 247 , gt = 87 , t1 =  58.7269 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1000 , t1/gt = 0.6750 , t2/gt = 0.7425
id = 248 , gt = 87 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.7072 , t2/gt = 0.7425
id = 249 , gt = 87 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.7072 , t2/gt = 0.7425
id = 250 , gt = 87 , t1 =  44.5515 , t2 = 75.9995 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.7059 , t1/gt = 0.5121 , t2/gt = 0.8736
id = 251 , gt = 87 , t1 =  56.1736 , t2 = 58.7269 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0455 , t1/gt = 0.6457 , t2/gt = 0.6750
id = 252 , gt = 87 , t1 =  44.5515 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4500 , t1/gt = 0.5121 , t2/gt = 0.7425
id = 253 , gt = 87 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.6750 , t2/gt = 0.7072
id = 254 , gt = 87 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.7072 , t2/gt = 0.7425
id = 255 , gt = 84 , t1 =  80.7495 , t2 = 86.1328 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0667 , t1/gt = 0.9613 , t2/gt = 1.0254
id = 256 , gt = 87 , t1 =  44.5515 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3810 , t1/gt = 0.5121 , t2/gt = 0.7072
id = 257 , gt = 87 , t1 =  64.5996 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0526 , t1/gt = 0.7425 , t2/gt = 0.7816
id = 258 , gt = 84 , t1 =  56.1736 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1500 , t1/gt = 0.6687 , t2/gt = 0.7690
id = 259 , gt = 81 , t1 =  61.5234 , t2 = 64.5996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0500 , t1/gt = 0.7595 , t2/gt = 0.7975
id = 260 , gt = 87 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.6750 , t2/gt = 0.7072
id = 261 , gt = 87 , t1 =  43.0664 , t2 = 86.1328 . P-score = 0.4906 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4950 , t2/gt = 0.9900
id = 262 , gt = 87 , t1 =  64.5996 , t2 = 86.1328 . P-score = 0.4609 , ALOTC = 1 . t1/t2 = 1.3333 , t1/gt = 0.7425 , t2/gt = 0.9900
id = 263 , gt = 87 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.6750 , t2/gt = 0.7072
